title,company,salary_from,salary_to,salary_currency,skills,experience,has_higher_education,requirements,responsibilities
Руководитель ИИ-проектов / AI Project Manager,Первый Бит,,,,,От 3 до 6 лет,False,,
DevOps-инженер в Лабораторию AI,Первый Бит,,,,,От 3 до 6 лет,False,,
Junior Software Developer,Медиапоинт,,,,,От 1 года до 3 лет,False,,
Senior Data Scientist,S7 Group,,,,"Big Data, Python, MLflow, PostgreSQL, Kubernetes, Gitlab",От 3 до 6 лет,False,,
Machine Learning Specialist,ПИК-специализированный застройщик,,,,,От 3 до 6 лет,False,,
Аналитик по машинному обучению,Управляющая компания Первая,,,,,От 1 года до 3 лет,False,,
ML-инженер (машинное обучение),Группа Компаний Мегамикс,,,,,От 3 до 6 лет,False,,
Senior Computer Vision Engineer,СБЕР,,,,,От 3 до 6 лет,False,,
NLP Engineer LLM,The Skolkovo Institute of Science and Technology,,,,"LLM, Python, PyTorch, Transformers, Docker, RAG, Numpy, pandas",От 3 до 6 лет,True,,
Lead ML Engineer,STARTRIBE LTD,,,,,Более 6 лет,False,,
Data Scientist в команду антифрода,АВИТО ТЕХ,,,,,От 3 до 6 лет,False,,
DevOps (SL Soft AI) инженер,SL Soft,,,,"DevOps, GitLab CI, Linux, Kubernetes, Docker, Kafka, PostgreSQL, MongoDB, Ansible, Python",От 3 до 6 лет,False,,
Middle Python-разработчик (AI),СОГАЗ,,,,"Python, CI/CD, Docker",От 1 года до 3 лет,False,,
NLP Researcher (LLM),МФТИ,200000,400000,RUR,,От 3 до 6 лет,False,,
Python-разработчик,HR GROW,300000,400000,RUR,"Python, SQL, Big Data",От 3 до 6 лет,False,,
Lead Senior Data Science / Machine Learning (NLP) инженер в QuantumSoft,КвантумСофт,500000,1000000,RUR,"Machine Learning, ML, AI, NLP, LLM, Deep Learning, Data Science, Data Scientist, Natural Language Processing Engineer",Более 6 лет,False,,
Quantitative Researcher,"Hi, Rockits!",,,,"Python, C++",От 3 до 6 лет,False,,
Data Scientist / ML-инженер,Медиалогия,,,,"Python, ML, NLP, Deep Learning, Машинное обучение, pandas, Numpy, Hadoop, Spark, sklearn, CatBoost, CV",От 3 до 6 лет,False,,
ML Engineer (Multimodal LLM),СБЕР,,,,,От 3 до 6 лет,False,,
MLOps (Senior),Компания БКС,,,,,От 3 до 6 лет,False,,
Младший системный инженер,Karma,,40000,RUR,"Linux, Ubuntu Server",Нет опыта,False,,
Бизнес-аналитик (ИИ-агент),Ростелеком Информационные Технологии,,,,,От 1 года до 3 лет,False,,
Data Scientist (антифрод модели),Data-Driven Lab,,,,"Data Science, Machine Learning, Математическое моделирование, Прогнозирование, Математическая статистика, Python, Машинное обучение",От 1 года до 3 лет,False,,
Senior ML Engineer (со знанием английского языка),Новео,,,,"Python, Английский язык, Machine Learning, AWS",От 3 до 6 лет,False,,
Разработчик Oracle,USETECH,,,,"ORACLE, Oracle Pl/SQL, SQL",Более 6 лет,False,,
Chief Technology Officer (CTO) / Технический директор,Ямми Груп,,,,,От 3 до 6 лет,False,,
Senior MLOps,ГНИВЦ,,,,"Kubernetes, Docker, MLflow, Kubeflow, PyTorch, TensorFlow, Apache Kafka, Prometheus, ELK, Grafana, Python",Более 6 лет,False,,
Team Lead MLOps,Звук,,,,"MLOps, ClearML, Apache Airflow, Triton",От 3 до 6 лет,False,,
"Middle ML/NLP Engineer в [Прогрессоры, МТС Веб Сервисы]",МТС,,,,"Python, PostgreSQL, FastAPI",От 1 года до 3 лет,False,,
ИТ лидер DS/ML (Домен ИИ),Т1,,,,"LLM, NLP, Computer Vision, ML, MLOps, BigData",От 3 до 6 лет,True,,
Разработчик AI решений (Python),ИЦ АЙ-ТЕКО,,230000,RUR,Python,От 3 до 6 лет,False,,
Senior Data Scientist (Центр розничного риск-моделирования),СБЕР,,,,,От 3 до 6 лет,False,,
Senior ML/LLM-инженер в поддержку Фантеха,Яндекс,,,,"Python, LLM, AI, RAG, ML, Deep Learning",Более 6 лет,False,,
Senior MLOps Engineer,DatsTeam,,,,,Более 6 лет,False,,
Senior Data Scientist (NLP/LLM),Циан,,,,"Python, SQL, NLP, LLM, Big Data",От 3 до 6 лет,False,,
DevOps специалист в команду MlOps,HeadHunter,,,,"DevOps, k8s, Python, CI/CD, Ansible, Docker, Ubuntu, Jenkins, ArgoCD, ML",Более 6 лет,False,,
IT-сорсер,Яндекс,,70000,RUR,,Нет опыта,False,,
Старший инженер машинного обучения в Автоматизацию коммуникаций,WILDBERRIES,,,,"Python, PyTorch, Deep Learning",От 3 до 6 лет,False,,
Data & ML QA testing engineer,Альфа-Банк,,,,,От 3 до 6 лет,False,,
ML Engineer,Компания БКС,,,,,От 3 до 6 лет,False,,
Middle RAG-инженер,СОГАЗ,,,,,От 1 года до 3 лет,True,,
SRE-инженер,USETECH,,,,"SRE, Kubernetes, K8s, Helm, Ansible",От 3 до 6 лет,False,,
Senior Data Scientist (Rec. system),Okko,,,,"Python, SQL, Deep Learning, ML",От 3 до 6 лет,False,,
Главный специалист Группы разработки прикладных сервисов,СК СОГАЗ-Мед,230000,268000,RUR,"Python, Node.js, PostgreSQL, API, Git",От 1 года до 3 лет,False,,
"Python разработчик (Middle+), Machine Learning",SkillStaff,,,,"MLflow, Python, PostgreSQL, REST API",От 3 до 6 лет,False,,
Ведущий инженер больших данных (Data Platform и ML),БЮРО 1440,,,,"SQL, Big Data, Python, Clickhouse, PostgreSQL, Apache Kafka, Grafana, ETL, DWH, Apache Airflow, СУБД",От 3 до 6 лет,False,,
Старший разработчик ML Training Platform в AI VK,VK,,,,,От 3 до 6 лет,False,,
